action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_name_1,applicant_sex,applicant_sex_name,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_name_1,co_applicant_sex,co_applicant_sex_name,county_code,county_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,tract_to_msamd_income
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,,7,Not applicable,4,Not applicable,318.0,4,Not applicable,7,Not applicable,4,Not applicable,155.0,Shiawassee County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,4,FSA/RHS-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),55800.0,96,1712.0,1282.0,4.599999904632568,4105.0,102.79000091552734
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,38.0,5,White,2,Female,20.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,121.0,Muskegon County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),53500.0,71,1607.0,1282.0,10.880000114440918,3832.0,82.0
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,74.0,5,White,1,Male,2914.0,2,Not Hispanic or Latino,5,White,2,Female,111.0,Midland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,65900.0,100,1689.0,1291.0,6.110000133514404,3975.0,80.3499984741211
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,5,White,1,Male,5920.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),53500.0,234,1586.0,1317.0,14.239999771118164,4474.0,191.1000061035156
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,95.0,5,White,1,Male,1449.0,2,Not Hispanic or Latino,5,White,2,Female,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),79600.0,177,1138.0,879.0,18.790000915527344,3939.0,58.72999954223633
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",65.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",12.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,27.0,Cass County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),60900.0,55,1488.0,1115.0,6.590000152587891,2884.0,95.16999816894533
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",124.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5642.0,3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),53500.0,195,1203.0,1036.0,33.02000045776367,3855.0,151.02999877929688
1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,75.0,5,White,2,Female,23.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,81.0,Kent County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),67000.0,271,1468.0,1193.0,10.359999656677246,3985.0,112.38999938964844
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",78.0,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,1944.0,3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,87,1256.0,994.0,21.25,3299.0,132.7899932861328
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,190.0,5,White,2,Female,122.02,5,No co-applicant,8,No co-applicant,5,No co-applicant,81.0,Kent County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,67000.0,300,2399.0,2249.0,1.5499999523162842,7041.0,194.22000122070312
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,82.0,5,White,1,Male,129.01,2,Not Hispanic or Latino,5,White,2,Female,81.0,Kent County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),67000.0,60,1701.0,1330.0,46.66999816894531,4459.0,50.209999084472656
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,394.0,3,Black or African American,2,Female,1980.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",79600.0,337,1230.0,1153.0,34.65999984741211,3615.0,139.2100067138672
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,77.0,5,White,2,Female,2239.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,30,3093.0,2981.0,7.679999828338623,8059.0,133.52999877929688
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,64.0,5,White,1,Male,1406.0,2,Not Hispanic or Latino,5,White,2,Female,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,145,918.0,742.0,48.16999816894531,2705.0,89.58000183105469
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,55.0,5,White,2,Female,56.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,65.0,Ingham County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,68300.0,94,1176.0,955.0,12.93000030517578,2900.0,135.22999572753906
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,115.0,2,Asian,1,Male,1289.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,308,1445.0,1376.0,18.149999618530277,5201.0,157.86000061035156
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,,7,Not applicable,4,Not applicable,5546.0,4,Not applicable,7,Not applicable,4,Not applicable,163.0,Wayne County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,53500.0,110,1514.0,1205.0,17.139999389648438,3746.0,108.06999969482422
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,52.0,5,White,1,Male,2620.0,2,Not Hispanic or Latino,5,White,2,Female,99.0,Macomb County,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",79600.0,88,1344.0,1203.0,17.360000610351562,3451.0,79.05000305175781
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,31.0,5,White,2,Female,5950.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),53500.0,87,1439.0,1252.0,7.289999961853027,3825.0,106.66000366210938
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,5,White,1,Male,5883.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),53500.0,121,2028.0,1787.0,19.670000076293945,5359.0,149.52999877929688
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,53.0,5,White,1,Male,5580.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),53500.0,142,1602.0,1450.0,6.349999904632568,4191.0,151.27000427246094
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,5693.0,3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),53500.0,94,1455.0,1159.0,15.149999618530272,3321.0,99.91000366210938
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",153.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5504.0,3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",55.0,Grand Traverse County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,179,3019.0,2156.0,10.420000076293944,7056.0,127.68000030517578
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,,5,White,1,Male,1217.0,2,Not Hispanic or Latino,5,White,2,Female,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),79600.0,206,1936.0,1730.0,5.849999904632568,5620.0,110.81999969482422
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,80.0,5,White,1,Male,1734.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,146,2624.0,1371.0,19.25,5585.0,60.31999969482422
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,,7,Not applicable,4,Not applicable,148.03,4,Not applicable,7,Not applicable,4,Not applicable,81.0,Kent County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),67000.0,150,1080.0,1034.0,4.440000057220459,3132.0,117.80999755859376
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,85.0,5,White,2,Female,1969.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,210,1194.0,1059.0,36.7599983215332,3452.0,144.17999267578125
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,1,Hispanic or Latino,59.0,5,White,2,Female,5847.0,1,Hispanic or Latino,5,White,1,Male,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),53500.0,115,1033.0,825.0,23.82999992370605,2493.0,94.23999786376952
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",48.0,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,2514.0,3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,94,1241.0,1022.0,5.159999847412109,2810.0,98.9800033569336
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,86.0,5,White,2,Female,2280.0,2,Not Hispanic or Latino,5,White,1,Male,99.0,Macomb County,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,18,1239.0,879.0,11.93000030517578,3303.0,82.01000213623047
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,92.0,5,White,1,Male,2317.0,2,Not Hispanic or Latino,5,White,2,Female,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,105,1931.0,1585.0,26.450000762939453,6608.0,81.0199966430664
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,,7,Not applicable,4,Not applicable,5801.0,4,Not applicable,7,Not applicable,4,Not applicable,163.0,Wayne County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),53500.0,108,820.0,511.0,9.670000076293944,1852.0,120.4499969482422
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,22.0,5,White,1,Male,316.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,155.0,Shiawassee County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,55,1294.0,926.0,4.239999771118164,4037.0,92.19000244140624
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",67.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",214.02,5,No co-applicant,8,No co-applicant,5,No co-applicant,45.0,Eaton County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,4,FSA/RHS-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,68300.0,122,1817.0,1653.0,10.880000114440918,4743.0,121.61000061035156
